code,company,check_type,date,shareholder_count,sum_shares_wan,sum_capital_wan,sum_ratio_pct,ratio_near_100,total_new_shares_wan,total_new_amount_wan,has_null_values,note
001282,三联锻造,cross_check_total,2019-12-04,1,,,,,348,1566,False,数值完整
001282,三联锻造,snapshot_total,t0,3,,500.0,,,,,,
001282,三联锻造,snapshot_total,t1,3,,380,,,,,,
001282,三联锻造,snapshot_total,t2,5,,,,,,,,
001282,三联锻造,snapshot_total,t3,6,,,,,,,,
001282,三联锻造,snapshot_total,t4,6,,,,,,,,
301563,云汉芯城,cross_check_total,2008-05-07,2,,,,,50,50,False,数值完整
301563,云汉芯城,cross_check_total,2018-06-28,10,,,,,635.0,15120,False,数值完整
301563,云汉芯城,cross_check_total,2020-05-28,1,,,,,113.0488,5000,False,数值完整
301563,云汉芯城,cross_check_total,2020-09-23,2,,,,,135.6586,7000,False,数值完整
301563,云汉芯城,snapshot_total,t0,5,4000.0,,,,,,,
301563,云汉芯城,snapshot_total,t1,5,4000.0,,,,,,,
301563,云汉芯城,snapshot_total,t2,12,4264.3373,,,,,,,
301563,云汉芯城,snapshot_total,t3,15,4635.0,,,,,,,
301563,云汉芯城,snapshot_total,t4,16,4748.0488,,,,,,,
301563,云汉芯城,snapshot_total,t5,34,4880.2539,,,,,,,
301581,黄山谷捷,cross_check_total,2021-11-11,2,,,,,514.2857,,False,数值完整
301581,黄山谷捷,cross_check_total,2022-05-26,1,,,,,90.2256,,False,数值完整
301581,黄山谷捷,snapshot_total,t0,1,,1000,,,,,,
301581,黄山谷捷,snapshot_total,t1,3,,1000,,,,,,
301581,黄山谷捷,snapshot_total,t2,3,,1200,,,,,,
301581,黄山谷捷,snapshot_total,t3,5,,1714.29,,,,,,
301581,黄山谷捷,snapshot_total,t4,6,,1804.51,,,,,,
301581,黄山谷捷,snapshot_total,t5,6,6000.0,,,,,,,
603418,友升股份,cross_check_total,2020-09-27,3,,,,,1380,11500,False,数值完整
603418,友升股份,cross_check_total,2022-12-19,10,,,,,,,True,有null，需人工补全
603418,友升股份,snapshot_total,t0,4,,,,,,,,
603418,友升股份,snapshot_total,t1,4,12000,,,,,,,
603418,友升股份,snapshot_total,t2,7,13380,,,,,,,
603418,友升股份,snapshot_total,t3,17,13380,,,,,,,
688758,赛分科技,cross_check_total,2009-03-11,3,,,,,,,True,有null，需人工补全
688758,赛分科技,cross_check_total,2010-06-17,1,,,,,,,True,有null，需人工补全
688758,赛分科技,cross_check_total,2011-04-19,3,,,,,,,True,有null，需人工补全
688758,赛分科技,cross_check_total,2021-04-01,4,,,,,,,True,有null，需人工补全
688758,赛分科技,snapshot_total,t0,7,,,,,,,,
688758,赛分科技,snapshot_total,t1,7,,,,,,,,
688775,影石创新,cross_check_total,2015-07-09,1,,,,,1000.0,1000.0,False,数值完整
688775,影石创新,cross_check_total,2020-01-18,1,,,,,36000.0,,False,数值完整
688775,影石创新,snapshot_total,t0,1,,9718.86,,,,,,
688775,影石创新,snapshot_total,t1,1,,,,,,,,
920100,三协电机,cross_check_total,2022-08-09,2,,,,,,,True,有null，需人工补全
920100,三协电机,cross_check_total,2023-09-06,15,,,,,,,True,有null，需人工补全
920100,三协电机,snapshot_total,t0,3,3831.14,,,,,,,
920116,星图测控,cross_check_total,2023-05-19,3,,,,,750.0,4725.0,False,数值完整
920116,星图测控,snapshot_total,t0,4,,,,,,,,
920116,星图测控,snapshot_total,t1,7,4575.0,,,,,,,
